# frame tx ty tz r00 r01 r02 r10 r11 r12 r20 r21 r22
0 0 0 0 1 0 0 0 1 0 0 0 1
1 0.373529 -0.334047 0.865383 0.999994 -0.00259851 -0.00215152 0.00260003 0.999996 0.000702174 0.00214969 -0.000707764 0.999997
2 0.967651 -0.661236 1.60021 0.99991 -0.0133937 -0.00109038 0.0134086 0.999796 0.0151238 0.000887593 -0.0151371 0.999885
3 0.341899 -0.327572 0.895153 0.99983 -0.0165809 0.00801255 0.0163743 0.999549 0.0251921 -0.00842664 -0.0250566 0.999651
4 0.54824 -0.702674 1.79888 0.999773 -0.0111103 0.0181827 0.0107157 0.999708 0.0216597 -0.0184181 -0.02146 0.9996
5 0.547121 -0.995946 2.75491 0.999891 -0.010438 0.0104077 0.0102002 0.999691 0.0226516 -0.0106409 -0.022543 0.999689
6 -0.254712 -1.27137 3.28519 0.997457 0.000191291 -0.0712674 0.00346621 0.998683 0.0511935 0.0711834 -0.0513104 0.996143
7 -0.323593 -1.54984 4.24317 0.989299 -0.00541369 -0.1458 0.0118136 0.999002 0.0430647 0.145422 -0.0443263 0.988376
8 0.670861 -1.62927 4.31211 0.989223 -0.0397563 -0.140912 0.0454112 0.998278 0.0371443 0.139193 -0.043143 0.989325
9 0.258036 -1.98749 5.14951 0.987289 -0.00677344 -0.158788 0.0130836 0.999164 0.0387281 0.158393 -0.0403133 0.986553
10 1.1959 -2.23489 5.39283 0.991086 -0.0235539 -0.131123 0.0279787 0.999096 0.0320058 0.130251 -0.0353891 0.990849
11 2.1689 -2.14138 5.1818 0.994666 -0.0573808 -0.0857189 0.0617687 0.996865 0.049444 0.082613 -0.054475 0.995092
12 1.51318 -2.40839 5.88801 0.986039 -0.0643862 -0.15356 0.0705885 0.996881 0.0352801 0.150809 -0.0456271 0.987509
13 2.49949 -2.54855 5.97485 0.995087 -0.068203 -0.0717589 0.0722825 0.995818 0.0558773 0.0676478 -0.0607897 0.995856
14 2.2453 -2.72782 6.92525 0.995933 -0.0836914 -0.0333633 0.085469 0.994766 0.0559896 0.0285028 -0.0586134 0.997874
15 3.22755 -2.87435 7.04234 0.992987 -0.117668 0.0114932 0.117127 0.992316 0.0398899 -0.0160986 -0.0382639 0.999138
16 2.50201 -3.04027 7.71022 0.988992 -0.0878918 -0.119038 0.0912884 0.99555 0.0233773 0.116453 -0.0339867 0.992614
17 3.46254 -3.23382 7.91003 0.992002 -0.116955 -0.0474651 0.118446 0.992509 0.0299272 0.0436095 -0.03531 0.998424
18 3.21061 -3.57636 8.81513 0.994095 -0.100796 -0.0401998 0.100794 0.994905 -0.00208259 0.0402049 -0.00198159 0.999189
19 3.13429 -3.59019 9.81212 0.991199 -0.131577 -0.01454 0.131505 0.991298 -0.00581777 0.015179 0.00385449 0.999877
20 2.40114 -3.61856 10.4916 0.987288 -0.147954 -0.0580743 0.148757 0.988826 0.00973585 0.0559849 -0.0182511 0.998265
21 2.06927 -3.98022 11.3628 0.970735 -0.194838 0.140401 0.201562 0.978842 -0.0352391 -0.130565 0.0625074 0.989467
22 1.17534 -4.38837 11.1776 0.964172 -0.222826 0.143945 0.241849 0.961316 -0.131838 -0.109 0.161927 0.980764
23 0.928352 -4.5228 12.1373 0.944453 -0.228713 0.236005 0.265458 0.954261 -0.137543 -0.193753 0.192552 0.961969
24 0.605468 -4.9585 12.9775 0.924522 -0.191779 0.329362 0.246205 0.960186 -0.132008 -0.290932 0.203134 0.93493
25 0.159604 -4.5687 13.7832 0.898153 -0.197043 0.393059 0.255933 0.961196 -0.102961 -0.357519 0.193071 0.913731
26 -0.497166 -4.6435 14.5336 0.912677 -0.21913 0.344968 0.269263 0.957411 -0.10422 -0.307438 0.188006 0.932811
27 -0.752724 -4.43603 15.4779 0.937605 -0.214455 0.27369 0.244344 0.966397 -0.0798304 -0.247373 0.141724 0.958499
28 -0.764035 -4.10337 16.4209 0.925099 -0.253165 0.28302 0.284277 0.955869 -0.0741714 -0.251752 0.149072 0.956242
29 -1.07801 -3.79302 17.3181 0.924807 -0.253911 0.283306 0.281162 0.957822 -0.0593681 -0.256282 0.134559 0.95719
30 -1.64496 -3.35714 18.0171 0.92263 -0.29002 0.254247 0.303933 0.952553 -0.0163546 -0.237441 0.0923634 0.967001
