# frame tx ty tz r00 r01 r02 r10 r11 r12 r20 r21 r22
0 0 0 0 1 0 0 0 1 0 0 0 1
1 0.668723 0.151953 -0.727818 0.999741 0.00173285 0.0227107 -0.00146489 0.999929 -0.0118099 -0.0227295 0.0117736 0.999672
2 0.633531 -0.223706 0.198271 0.987465 -0.0309102 0.154781 0.033464 0.999343 -0.0139206 -0.154249 0.0189257 0.987851
3 -0.253833 0.0183729 -0.194135 0.917042 -0.0839085 0.389864 0.106324 0.993671 -0.0362345 -0.384356 0.0746807 0.920159
4 -0.736488 0.300479 -1.02327 0.891468 -0.0931635 0.443402 0.136584 0.988364 -0.0669379 -0.432006 0.120234 0.89382
5 -0.0454893 0.0295661 -0.353098 0.814438 -0.11831 0.56806 0.184863 0.980885 -0.0607527 -0.550014 0.154493 0.820741
6 0.762379 -0.28125 0.147644 0.684366 -0.152714 0.712967 0.240332 0.970422 -0.0228315 -0.688393 0.186974 0.700825
7 1.3713 -0.617706 0.86598 0.580121 -0.152433 0.80014 0.263859 0.964532 -0.00755252 -0.770609 0.215505 0.599766
8 1.88179 -0.91907 1.67133 0.515602 -0.14108 0.845134 0.295792 0.955021 -0.021034 -0.804153 0.260829 0.534141
9 2.05949 -1.2114 2.61099 0.514293 -0.109261 0.850626 0.274163 0.96075 -0.0423549 -0.812611 0.254993 0.524063
10 2.34426 -1.35352 3.55899 0.471438 -0.148337 0.869334 0.326566 0.945042 -0.0158407 -0.819207 0.291362 0.493971
11 2.65178 -1.67568 4.45434 0.367193 -0.109328 0.923697 0.308907 0.951037 -0.0102349 -0.877352 0.289095 0.382986
12 2.83231 -1.87229 5.41805 0.317514 -0.146544 0.936862 0.373314 0.927519 0.0185622 -0.871677 0.34385 0.349208
13 2.88472 -2.15781 6.37499 0.290495 -0.087209 0.952894 0.318591 0.947835 -0.0103785 -0.902281 0.306599 0.303126
14 2.99522 -2.306 7.35776 0.361138 -0.115718 0.925305 0.339689 0.940419 -0.0149695 -0.868442 0.319722 0.378929
15 2.18467 -2.12362 6.80122 0.641942 -0.150138 0.751911 0.30948 0.947949 -0.074936 -0.701522 0.280806 0.654992
16 1.41738 -1.95574 7.42015 0.700445 -0.149202 0.697936 0.30206 0.947978 -0.10049 -0.646634 0.281206 0.709075
17 0.743685 -1.86668 8.15378 0.676058 -0.156671 0.72 0.280346 0.958339 -0.0547028 -0.681434 0.238832 0.691815
18 1.31721 -2.07052 8.9472 0.603265 -0.195009 0.773332 0.329286 0.944043 -0.0188145 -0.726389 0.265998 0.633722
19 1.67143 -2.27498 9.85974 0.466732 -0.143631 0.872658 0.331516 0.943191 -0.0220673 -0.819914 0.2996 0.487834
20 2.01602 -2.21576 10.7966 0.392663 -0.114419 0.912537 0.347863 0.936992 -0.0321996 -0.851356 0.330081 0.407724
21 2.12771 -2.30371 11.7865 0.27289 -0.063008 0.95998 0.362483 0.931047 -0.0419326 -0.891144 0.359419 0.276913
22 2.37904 -2.52603 12.7285 0.179209 -0.0681532 0.981448 0.376806 0.926281 -0.00448125 -0.908791 0.370619 0.191679
23 2.37021 -2.74369 13.7045 0.124497 -0.0121325 0.992146 0.370087 0.928334 -0.0350873 -0.920617 0.371548 0.120065
24 2.24849 -2.58309 14.684 0.0476282 0.0291071 0.998441 0.405555 0.912914 -0.0459598 -0.912829 0.407112 0.0316759
25 1.99393 -2.37987 15.6294 0.0040234 0.058995 0.99825 0.409627 0.910565 -0.0554639 -0.912244 0.409134 -0.0205024
26 1.92303 -2.5084 16.6186 -0.116667 0.0369483 0.992484 0.421782 0.906559 0.0158311 -0.89916 0.420459 -0.121349
27 1.54783 -2.46253 17.5444 -0.310679 0.147733 0.938964 0.379566 0.92495 -0.0199397 -0.87144 0.350204 -0.343437
28 1.06166 -2.32068 18.4067 -0.416047 0.121293 0.901217 0.371393 0.927303 0.0466501 -0.830043 0.354115 -0.430849
29 0.433547 -2.18461 19.1728 -0.358117 0.160804 0.919725 0.417316 0.908754 0.00360658 -0.835224 0.385108 -0.392546
30 -0.185452 -2.07502 19.9505 -0.372097 0.18971 0.9086 0.421862 0.90651 -0.0165087 -0.826786 0.377161 -0.417341
31 -0.830122 -1.87897 20.6894 -0.493825 0.230387 0.838486 0.387887 0.921376 -0.0247168 -0.778255 0.313032 -0.544362
32 -1.55223 -1.69931 21.3575 -0.566332 0.231086 0.791118 0.391907 0.919928 0.0118402 -0.725036 0.31675 -0.611549
33 -2.3138 -1.50625 21.9761 -0.566942 0.216339 0.794842 0.402644 0.914556 0.0382735 -0.718648 0.341738 -0.605608
34 -3.12658 -1.33891 22.5341 -0.580631 0.238091 0.778576 0.405449 0.91383 0.0229152 -0.70603 0.328978 -0.627132
35 -3.94495 -1.06731 23.0406 -0.657213 0.243939 0.713137 0.384419 0.922344 0.0387723 -0.6483 0.299625 -0.699951
36 -4.83081 -0.917282 23.4796 -0.725562 0.256324 0.638637 0.36621 0.92954 0.0429738 -0.582623 0.265055 -0.768307
37 -5.68934 -0.637964 23.9096 -0.7687 0.246434 0.590229 0.360109 0.929391 0.0809552 -0.528604 0.274777 -0.803166
38 -6.61714 -0.451734 24.2329 -0.791326 0.301111 0.532104 0.393387 0.916992 0.0661163 -0.468027 0.261642 -0.844094
39 -7.51999 -0.131317 24.5196 -0.853071 0.275222 0.44331 0.359304 0.92591 0.11658 -0.37838 0.258733 -0.888755
40 -8.46997 0.0775458 24.7518 -0.888797 0.289269 0.355476 0.34182 0.935079 0.0937331 -0.305284 0.204819 -0.929974
41 -9.42605 0.370633 24.7569 -0.918221 0.303519 0.254451 0.341639 0.931992 0.121133 -0.200381 0.198157 -0.959469
42 -10.341 0.627909 25.0678 -0.916863 0.299976 0.263393 0.348185 0.923658 0.160076 -0.195267 0.238477 -0.951315
43 -11.2825 0.959154 25.1291 -0.931556 0.306097 0.196236 0.335772 0.931286 0.14129 -0.139503 0.19751 -0.970324
44 -12.2573 1.18203 25.1156 -0.953492 0.2915 0.0766921 0.300761 0.936906 0.178186 -0.0199119 0.192965 -0.981004
45 -11.4654 1.0843 25.7183 -0.956418 0.291523 0.0166865 0.290479 0.94405 0.156176 0.0297762 0.154217 -0.987588
46 -12.2587 1.44097 25.2249 -0.954908 0.277763 -0.10487 0.257356 0.950498 0.174133 0.148047 0.139292 -0.979122
47 -13.1392 1.49552 24.754 -0.948293 0.260328 -0.181575 0.231527 0.958681 0.165308 0.217107 0.11472 -0.969383
48 -13.97 1.80119 24.289 -0.912959 0.206107 -0.352173 0.172065 0.977027 0.125743 0.37 0.0542015 -0.927449
49 -14.8477 1.73014 23.815 -0.799903 0.22134 -0.557821 0.172983 0.975088 0.138855 0.574658 0.0145768 -0.818264
50 -15.382 2.09626 23.0531 -0.801903 0.191346 -0.565984 0.110713 0.978511 0.17395 0.587106 0.0768297 -0.805856
51 -15.9643 2.16799 22.2433 -0.777774 0.217343 -0.589771 0.13853 0.974515 0.17644 0.613088 0.0555292 -0.78806
52 -16.4927 2.43322 21.4368 -0.729208 0.205734 -0.652633 0.128213 0.977921 0.16502 0.672173 0.0366576 -0.739486
53 -16.9515 2.59438 20.563 -0.636887 0.202349 -0.743929 0.137276 0.979286 0.148843 0.758637 -0.00732707 -0.651472
54 -17.5114 2.71198 19.7428 -0.586101 0.188761 -0.787944 0.0946084 0.981775 0.164823 0.804696 0.0220566 -0.593278
55 -17.8384 2.81618 18.8036 -0.557539 0.182137 -0.809924 0.0689254 0.982422 0.173482 0.827284 0.0408984 -0.560293
56 -18.1451 2.97087 17.8644 -0.450231 0.190273 -0.872404 0.0750439 0.981639 0.175368 0.889753 0.0134875 -0.456243
57 -18.3175 3.06697 16.8841 -0.224852 0.177847 -0.958025 0.0857964 0.982997 0.162346 0.970608 -0.0456912 -0.236288
58 -18.2635 3.06564 15.8855 -0.073932 0.139374 -0.987476 0.0591275 0.989057 0.135171 0.995509 -0.0483936 -0.0813638
59 -18.0612 3.13928 14.909 0.0129909 0.132406 -0.99111 0.0234695 0.990881 0.132683 0.99964 -0.0249845 0.00976496
60 -17.765 3.12289 13.954 0.0910536 0.121391 -0.98842 0.0289022 0.991802 0.124469 0.995426 -0.0399009 0.0867987
61 -17.3765 3.18267 13.0345 0.233645 0.0421488 -0.971408 0.0204321 0.998627 0.0482441 0.972107 -0.0311199 0.232463
62 -16.9402 3.00681 12.1521 0.348229 0.0554636 -0.935767 0.0718736 0.99373 0.0856456 0.93465 -0.0970812 0.34206
63 -16.2705 3.05356 11.4109 0.402147 0.0111632 -0.915507 0.0632047 0.997202 0.0399226 0.913391 -0.0739191 0.400316
64 -15.7858 2.76204 10.5863 0.435706 0.0232688 -0.899788 0.0289486 0.998786 0.0398468 0.899623 -0.0434091 0.434503
65 -15.0363 2.82323 9.92704 0.451855 0.0015912 -0.89209 0.0427806 0.998809 0.0234505 0.891065 -0.0487604 0.451249
66 -14.334 2.69673 9.22648 0.51501 0.00231026 -0.857181 0.0513095 0.99812 0.0335178 0.855647 -0.0612436 0.513923
67 -13.5982 2.65953 8.55027 0.588765 -0.0273408 -0.807842 0.0750833 0.996957 0.0209804 0.804809 -0.073008 0.589026
68 -12.8052 2.4893 7.96532 0.634526 -0.0197104 -0.772651 0.0466418 0.998829 0.0128234 0.771493 -0.0441746 0.634702
69 -11.9372 2.37279 7.48266 0.665445 -0.0161609 -0.746272 0.0669853 0.997025 0.0381392 0.743435 -0.0753687 0.664548
70 -11.1167 2.16381 6.95062 0.754691 -0.0327078 -0.655264 0.0803783 0.995842 0.0428667 0.651138 -0.0850201 0.754182
71 -10.2404 1.97621 6.50694 0.789819 -0.0633592 -0.610059 0.0703666 0.997443 -0.012491 0.60929 -0.0330621 0.792258
72 -9.42248 1.74214 5.9813 0.796213 -0.0800769 -0.599694 0.0577371 0.996735 -0.0564361 0.602256 0.0103105 0.798237
73 -8.60734 1.57807 5.42577 0.811782 -0.0664064 -0.580173 0.0548666 0.997792 -0.0374372 0.581378 -0.00144128 0.813633
74 -7.80851 1.42164 4.84489 0.855597 -0.0524069 -0.514983 0.074553 0.996965 0.0224074 0.512246 -0.0575652 0.856907
75 -6.92917 1.24957 4.40089 0.892456 -0.0705761 -0.44558 0.07497 0.997155 -0.00778285 0.444862 -0.0264593 0.895208
