# frame tx ty tz r00 r01 r02 r10 r11 r12 r20 r21 r22
46 -18.8993 -1.12133 4.46629 -0.977234 0.0972103 -0.188586 0.043078 0.961256 0.272272 0.207747 0.257949 -0.943559
47 -18.9284 -1.05868 3.46868 -0.947384 0.0896621 -0.307286 -0.000596452 0.959473 0.281801 0.320099 0.267157 -0.908935
48 -18.3742 -0.690686 2.72206 -0.931835 0.116539 -0.343661 0.00273723 0.949259 0.314482 0.362873 0.292105 -0.884872
49 -17.9508 -0.799859 1.8227 -0.871336 0.152787 -0.466294 -0.00875638 0.945295 0.3261 0.490609 0.288226 -0.822331
50 -17.6747 -0.551433 0.894235 -0.814506 0.182566 -0.550681 -0.0227963 0.938392 0.344821 0.579707 0.293412 -0.760164
51 -17.1602 -0.303733 0.0732566 -0.686404 0.210322 -0.696143 -0.0492989 0.941605 0.333091 0.725548 0.262954 -0.635953
52 -16.1804 -0.464374 -0.0451027 -0.639876 0.170634 -0.749295 -0.0960313 0.94964 0.298265 0.762454 0.262809 -0.591265
53 -15.9475 -0.544888 -1.01428 -0.586641 0.178664 -0.789893 -0.136185 0.939708 0.313693 0.798314 0.291597 -0.52694
54 -15.2665 -0.220699 -1.67091 -0.508976 0.19648 -0.838057 -0.0974628 0.954186 0.282898 0.855245 0.225667 -0.466508
55 -14.5332 -0.0450424 -2.32768 -0.425465 0.222279 -0.877253 -0.118369 0.94737 0.297454 0.8972 0.230395 -0.376762
56 -13.8502 0.202019 -3.01504 -0.400801 0.186514 -0.896979 -0.137329 0.955766 0.260101 0.905814 0.22743 -0.357458
57 -13.0021 0.293601 -3.53689 -0.403611 0.179368 -0.897176 -0.159439 0.951802 0.262015 0.900931 0.248797 -0.35556
58 -12.2428 0.375071 -4.18252 -0.329648 0.211249 -0.920166 -0.0888941 0.96337 0.253014 0.93991 0.165203 -0.298794
59 -11.2507 0.499633 -4.19609 -0.281571 0.247751 -0.927005 -0.108074 0.951757 0.287192 0.953435 0.18105 -0.241211
60 -10.2543 0.584936 -4.20273 -0.205305 0.20998 -0.955907 -0.123106 0.963415 0.238069 0.970925 0.166555 -0.171944
61 -9.29735 0.670338 -4.48004 -0.132623 0.20858 -0.968971 -0.160593 0.960168 0.228665 0.97807 0.185936 -0.0938439
62 -8.29805 0.649114 -4.4494 -0.0441237 0.235821 -0.970794 -0.134453 0.961498 0.239673 0.989937 0.141102 -0.010718
63 -7.38321 0.982282 -4.67758 0.0501587 0.188819 -0.98073 -0.1335 0.974422 0.180776 0.989779 0.12186 0.074083
64 -6.41068 1.15255 -4.83632 0.216565 0.19348 -0.956904 -0.091242 0.979886 0.177477 0.971995 0.0488746 0.229862
65 -5.42355 1.20605 -4.68559 0.298078 0.165697 -0.94005 -0.0862684 0.985464 0.146348 0.950635 0.0374737 0.308039
66 -4.48145 1.06425 -4.38172 0.393478 0.150309 -0.906963 -0.0992102 0.987725 0.120652 0.913965 0.0425063 0.40356
67 -3.5433 0.745079 -4.51589 0.530402 0.177286 -0.829002 -0.0886679 0.984127 0.15373 0.843097 -0.00803285 0.537702
68 -2.60098 1.00218 -4.73023 0.653891 0.181274 -0.734552 -0.0811863 0.982079 0.170087 0.752221 -0.051583 0.656889
69 -1.77017 0.95762 -4.17546 0.73649 0.183363 -0.651123 -0.122097 0.982785 0.138658 0.665338 -0.0226204 0.746199
70 -1.12614 0.838493 -3.4198 0.806754 0.195889 -0.557472 -0.157812 0.980609 0.116194 0.569424 -0.00576465 0.822024
71 -2.03229 0.690259 -3.02367 0.796117 0.144657 -0.587598 -0.129031 0.989257 0.0687198 0.591226 0.0211094 0.806229
72 -1.20323 0.523333 -2.49001 0.816473 0.184434 -0.547134 -0.157458 0.982816 0.096328 0.555499 0.00750162 0.831483
73 -0.557518 0.490565 -1.72713 0.887398 0.146544 -0.437092 -0.141445 0.98895 0.0444008 0.438768 0.0224231 0.89832
74 0.135335 0.254718 -1.04571 0.911997 0.108396 -0.395616 -0.118289 0.992979 -0.000616708 0.392772 0.0473596 0.918416
75 0.873224 0.276338 -0.371134 0.939027 0.101247 -0.328599 -0.101519 0.994699 0.0163738 0.328515 0.0179838 0.944328
76 1.52056 0.0982957 0.369982 0.96051 0.117986 -0.251991 -0.120008 0.992745 0.00738461 0.251034 0.0231481 0.967701
77 2.12117 0.11659 1.16932 0.973895 0.13865 -0.179734 -0.139803 0.990159 0.00630039 0.178838 0.0189914 0.983695
78 2.59377 -0.0578215 2.03316 0.977484 0.0951734 -0.188328 -0.105752 0.993285 -0.0469223 0.182598 0.065782 0.980985
79 3.16405 -0.0708796 2.85451 0.984592 0.126634 -0.120593 -0.129371 0.991481 -0.0151137 0.117652 0.030482 0.992587
80 3.7318 -0.115794 3.67649 0.988856 0.145407 -0.0319326 -0.145415 0.989369 0.00209178 0.0318972 0.002575 0.999488
81 4.20647 -0.275276 4.54208 0.993244 0.114123 0.0210364 -0.114439 0.993324 0.0145011 -0.0192411 -0.0168106 0.999674
