# frame tx ty tz r00 r01 r02 r10 r11 r12 r20 r21 r22
0 0 0 0 1 0 0 0 1 0 0 0 1
1 -0.0682687 -0.172725 0.982601 0.999815 0.00195448 -0.0191182 -0.00189859 0.999994 0.00294084 0.0191238 -0.002904 0.999813
2 -0.0717681 -0.295026 1.97509 0.999463 -0.00517014 0.0323595 0.00541801 0.999957 -0.00757691 -0.0323189 0.00774816 0.999448
3 0.855568 -0.349829 2.34528 0.999057 -0.00703493 0.0428401 0.0082801 0.999546 -0.0289577 -0.042617 0.0292852 0.998662
4 -0.130802 -0.497417 2.27253 0.999288 -0.0176946 0.0333322 0.0185194 0.999526 -0.024601 -0.0328811 0.0252007 0.999142
5 0.0818749 -0.554199 1.29706 0.998345 -0.0321262 0.0477085 0.0332596 0.999178 -0.0231554 -0.0469254 0.0247038 0.998593
6 0.404128 -0.520593 2.24312 0.995983 -0.0446351 0.0776224 0.0448108 0.998995 -0.000522804 -0.0775211 0.00399903 0.996983
7 -0.45184 -0.54751 2.75945 0.99641 -0.0846434 0.00174288 0.0842917 0.993771 0.0729035 -0.00790282 -0.0724948 0.997337
8 0.0371081 -0.500934 3.63052 0.998405 -0.040394 0.0394439 0.0379587 0.997437 0.0606514 -0.0417928 -0.0590574 0.997379
9 -0.954202 -0.506968 3.76192 0.999621 -0.0271457 -0.00450245 0.0271971 0.999561 0.0117797 0.0041807 -0.0118977 0.99992
10 -0.860199 -0.478484 4.75709 0.992059 -0.0557431 0.112743 0.054934 0.998437 0.0102731 -0.11314 -0.00399812 0.993571
11 -0.140278 -0.396554 5.44629 0.972951 -0.0593425 0.223261 0.0578904 0.998238 0.0130497 -0.223642 0.000227947 0.974671
12 -1.11934 -0.457121 5.25193 0.956594 -0.0954177 0.27536 0.0885586 0.995374 0.0372664 -0.277642 -0.0112633 0.960619
13 -2.11101 -0.37736 5.15082 0.966549 -0.0386181 0.253558 0.0357169 0.999233 0.0160371 -0.253983 -0.00644435 0.967187
14 -2.38983 -0.54443 6.09652 0.920208 -0.0788899 0.383397 0.0686049 0.996824 0.0404501 -0.385371 -0.0109196 0.922697
15 -2.66653 -0.410332 5.14497 0.887184 -0.0563742 0.457959 0.0673417 0.997701 -0.00764238 -0.456476 0.03762 0.88894
16 -3.57826 -0.308019 4.74711 0.855081 -0.102901 0.508181 0.104086 0.994224 0.0261809 -0.507939 0.0305078 0.860853
17 -4.09697 -0.260378 3.89349 0.793222 -0.100651 0.600557 0.10461 0.994107 0.0284387 -0.59988 0.0402662 0.799076
18 -3.58755 0.0660968 3.09731 0.66667 -0.189169 0.720948 0.161002 0.98097 0.108516 -0.727756 0.0437302 0.68444
19 -3.18449 0.330216 2.22108 0.519143 -0.138379 0.843411 0.128547 0.988223 0.0830136 -0.844965 0.0653221 0.530817
20 -3.95206 -0.0371691 2.74631 -0.0849859 0.55189 -0.829575 -0.454419 0.719488 0.525205 0.886725 0.42161 0.189643
